,Human Weight,Ball Weight,Number of Points,Minimum Cost - Our Algorithm,Minimum Cost - Shortest Distance,Distance of Path - Our Algorithm,Shortest Distance,Algorithm Path,SD Path,Cost Savings,Time to Calculate (seconds),Point 0,Point 1,Point 2,Point 3,Point 4,Point 5,Point 6,Point 7,Point 8,Point 9,Point 10,Point 11
0,25,10.0,10,2757.068,2757.068,37.605,37.605,"[[0, 0], [3, 4], [7, 2], [10, 4], [9, 6], [8, 9], [6, 7], [4, 9], [2, 8], [0, 9], [0, 5], [0, 0]]","[[0, 0], [3, 4], [7, 2], [10, 4], [9, 6], [8, 9], [6, 7], [4, 9], [2, 8], [0, 9], [0, 5], [0, 0]]",-0.0,125.7115,"[0, 0]","[3, 4]","[7, 2]","[10, 4]","[9, 6]","[8, 9]","[6, 7]","[4, 9]","[2, 8]","[0, 9]","[0, 5]","[0, 0]"
1,95,90.0,4,5246.841,5342.931,25.092,23.975,"[[0, 0], [1, 10], [5, 6], [2, 6], [0, 1], [0, 0]]","[[0, 0], [5, 6], [1, 10], [2, 6], [0, 1], [0, 0]]",96.09,1.5683,"[0, 0]","[1, 10]","[5, 6]","[2, 6]","[0, 1]","[0, 0]",,,,,,
2,140,55.0,8,9519.293,11717.167,35.947,35.741,"[[0, 0], [6, 10], [10, 10], [10, 2], [7, 1], [5, 2], [5, 3], [1, 1], [1, 1], [0, 0]]","[[0, 0], [5, 2], [7, 1], [10, 2], [10, 10], [6, 10], [5, 3], [1, 1], [1, 1], [0, 0]]",2197.873,1.1658,"[0, 0]","[6, 10]","[10, 10]","[10, 2]","[7, 1]","[5, 2]","[5, 3]","[1, 1]","[1, 1]","[0, 0]",,
3,80,45.0,3,2416.077,2527.857,18.285,18.193,"[[0, 0], [6, 6], [5, 5], [3, 0], [0, 0]]","[[0, 0], [5, 5], [6, 6], [3, 0], [0, 0]]",111.78,0.0125,"[0, 0]","[6, 6]","[5, 5]","[3, 0]","[0, 0]",,,,,,,
4,50,45.0,3,2117.433,2117.433,23.422,23.422,"[[0, 0], [1, 10], [4, 2], [2, 2], [0, 0]]","[[0, 0], [1, 10], [4, 2], [2, 2], [0, 0]]",0.0,0.0,"[0, 0]","[1, 10]","[4, 2]","[2, 2]","[0, 0]",,,,,,,
5,175,45.0,8,9703.018,9788.068,31.397,31.323,"[[0, 0], [0, 8], [7, 7], [9, 8], [8, 7], [8, 5], [7, 4], [6, 1], [1, 0], [0, 0]]","[[0, 0], [0, 8], [7, 7], [8, 7], [9, 8], [8, 5], [7, 4], [6, 1], [1, 0], [0, 0]]",85.051,0.9367,"[0, 0]","[0, 8]","[7, 7]","[9, 8]","[8, 7]","[8, 5]","[7, 4]","[6, 1]","[1, 0]","[0, 0]",,
6,180,17.5,3,4907.588,4907.588,23.985,23.985,"[[0, 0], [1, 6], [8, 5], [5, 0], [0, 0]]","[[0, 0], [1, 6], [8, 5], [5, 0], [0, 0]]",-0.0,0.018,"[0, 0]","[1, 6]","[8, 5]","[5, 0]","[0, 0]",,,,,,,
7,120,22.5,7,6853.857,6853.857,34.556,34.556,"[[0, 0], [8, 0], [8, 3], [5, 6], [7, 9], [6, 9], [4, 10], [0, 8], [0, 0]]","[[0, 0], [8, 0], [8, 3], [5, 6], [7, 9], [6, 9], [4, 10], [0, 8], [0, 0]]",0.0,0.1035,"[0, 0]","[8, 0]","[8, 3]","[5, 6]","[7, 9]","[6, 9]","[4, 10]","[0, 8]","[0, 0]",,,
8,145,57.5,5,7724.555,8464.867,31.817,30.918,"[[0, 0], [10, 7], [5, 10], [2, 7], [0, 5], [2, 4], [0, 0]]","[[0, 0], [2, 4], [10, 7], [5, 10], [2, 7], [0, 5], [0, 0]]",740.312,0.003,"[0, 0]","[10, 7]","[5, 10]","[2, 7]","[0, 5]","[2, 4]","[0, 0]",,,,,
9,150,97.5,4,7205.182,7205.182,24.735,24.735,"[[0, 0], [2, 10], [6, 7], [4, 6], [2, 4], [0, 0]]","[[0, 0], [2, 10], [6, 7], [4, 6], [2, 4], [0, 0]]",0.0,0.0,"[0, 0]","[2, 10]","[6, 7]","[4, 6]","[2, 4]","[0, 0]",,,,,,
10,45,87.5,5,4477.069,4477.069,26.968,26.968,"[[0, 0], [4, 10], [5, 5], [6, 0], [4, 0], [0, 0], [0, 0]]","[[0, 0], [4, 10], [5, 5], [6, 0], [4, 0], [0, 0], [0, 0]]",0.0,0.002,"[0, 0]","[4, 10]","[5, 5]","[6, 0]","[4, 0]","[0, 0]","[0, 0]",,,,,
11,145,52.5,6,8257.065,8874.822,32.112,31.126,"[[0, 0], [10, 2], [9, 8], [5, 6], [5, 4], [4, 2], [0, 3], [0, 0]]","[[0, 0], [4, 2], [10, 2], [9, 8], [5, 6], [5, 4], [0, 3], [0, 0]]",617.757,0.012,"[0, 0]","[10, 2]","[9, 8]","[5, 6]","[5, 4]","[4, 2]","[0, 3]","[0, 0]",,,,
12,80,72.5,5,5362.418,6401.015,26.589,25.039,"[[0, 0], [7, 9], [6, 7], [2, 8], [2, 4], [2, 2], [0, 0]]","[[0, 0], [2, 4], [2, 8], [7, 9], [6, 7], [2, 2], [0, 0]]",1038.597,0.001,"[0, 0]","[7, 9]","[6, 7]","[2, 8]","[2, 4]","[2, 2]","[0, 0]",,,,,
13,185,12.5,5,6144.613,6144.613,28.851,28.851,"[[0, 0], [5, 8], [8, 9], [7, 6], [9, 3], [6, 2], [0, 0]]","[[0, 0], [5, 8], [8, 9], [7, 6], [9, 3], [6, 2], [0, 0]]",-0.0,0.002,"[0, 0]","[5, 8]","[8, 9]","[7, 6]","[9, 3]","[6, 2]","[0, 0]",,,,,
14,105,55.0,8,6863.724,6896.888,25.543,24.944,"[[0, 0], [0, 5], [1, 5], [8, 6], [6, 5], [6, 2], [5, 0], [1, 0], [0, 0], [0, 0]]","[[0, 0], [0, 5], [1, 5], [6, 5], [8, 6], [6, 2], [5, 0], [1, 0], [0, 0], [0, 0]]",33.165,1.0777,"[0, 0]","[0, 5]","[1, 5]","[8, 6]","[6, 5]","[6, 2]","[5, 0]","[1, 0]","[0, 0]","[0, 0]",,
15,135,10.0,4,4105.774,4105.774,27.629,27.629,"[[0, 0], [8, 5], [2, 10], [0, 5], [0, 4], [0, 0]]","[[0, 0], [8, 5], [2, 10], [0, 5], [0, 4], [0, 0]]",0.0,0.012,"[0, 0]","[8, 5]","[2, 10]","[0, 5]","[0, 4]","[0, 0]",,,,,,
